昵称,点赞数,时间,评论
华靓,6065,2024/7/15 6:55,: 我唯一能做的事就是卸载百度，自己决不因为几块钱去打萝卜，出不起钱就坐地铁公交，这是我个人唯一能给予的支持[九转大肠][九转大肠][比心][比心][比心][比心][玫瑰][玫瑰][玫瑰]
彩少,1,2024/8/28 16:26,多问问乘客的意见吧，对于司机驾驶很满意的话，他搞无人驾驶就争不过
明明88,1365,2024/7/15 15:04,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
骑着单车耍微信,67,2024/7/15 9:02,给你点一百个赞！
大大T仔,0,2024/8/29 18:05,网约车司机不开空调怎么破？
青云上云霄,263,2024/7/15 10:51,强烈建议恢复八抬大轿，这样一单可以解决8个人就业问题 [看]
照书超,350,2024/7/16 14:55,作为一名出租司机，向您说一声谢谢[感谢]
9527加纳利犬,0,2024/9/11 22:40,为什么人家没有双手可以开车 ，你只要单手扶方向盘 罚款，只要你没有证 开车 罚款 拘留 [发怒]
12PM,135,2024/7/18 18:58,别看他萝卜快跑现在价格低，一旦形成垄断了市场。你就知道低不低咯！
杨成建,38,2024/7/20 22:24,未来大家都没事做了  那就要干大事了
风继续吹rr,2,2024/8/19 12:16,反对无人驾驶网约车可以带来视频流量这个倒是真的。
爱折腾的鸿铭,237,2024/7/15 16:14,真就只有崔磊老师敢讲实话，敢为老百姓说话！[比心]
????爱财爱己????,7,2024/7/18 12:56,"如果生孩子是社会的责任，那就请社会履行抚养义务。
如果生孩子是个人的责任，那就请社会尊重个人的选择。
句句不谈薪资，条条不离奉献；
桩桩不谈好事，事事皆讲境界。
如果个体的困顿和集体无关，那集体的荣辱和个体又有何关系？"
任友理,4,2024/7/15 20:35,政府怎么会批下来是[心碎]
A格终结者,23,2024/7/15 6:41,人生就是柴米油盐: 人工智能应该应用在公务办公，让行政单位精兵简政，利国利民
久久九九,2,2024/8/11 18:40,百度李彦宏游戏，断了青少年的路。无人驾驶车，断了中年人的路。。。。[赞][赞][赞]
言论,0,2024/8/29 10:26,以后都去学黑客技术，以后黑客技术的入门标准就是能不能控制无人驾驶车辆？[抠鼻]
飞翔的鱼,6,2024/7/31 1:17,撑不住了上梁山[不失礼貌的微笑]
潮汕牛肉,63,2024/7/15 11:14,强烈建议无人出租车，跑晚上九点至凌晨五点，方便出租车 师傅休息，方便晚上出行的人们，其余时间给出租车师傅，毕竟都不容易，
淡泊,2,2024/7/16 10:58,新的岗位会出现，例如下图中所示：
肯努力的人,902,2024/7/17 11:54,主播说的对，1000辆萝卜快跑一个老板赚，1000辆人工司机养活1000个家庭
落日余晖&,11,2024/7/15 16:47,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
回家真好,0,2024/8/31 17:44,一句话都是想在人身上赚钱，而人没工作没收入
再见已是缘分,0,2024/8/18 14:38,我们在享受高科技带来便利的同时，有些领域也承受不起高科技带来的“反噬”，高技术发展一定要与人民的生活生存相互依存，不得背道而驰！
一路顺风,12,2024/7/25 22:15,"如果生孩子是社会的责任，那就请社会履行抚养义务。
如果生孩子是个人的责任，那就请社会尊重个人的选择。
句句不谈薪资，条条不离奉献；
桩桩不谈好事，事事皆讲境界。
如果个体的困顿和集体无关，那集体的荣辱和个体又有何关系？"
用户19200995547,0,2024/9/5 1:40,多少年后人都没有驾照，人不会开车了，发生战争和自然灾难怎么办！
阿诗玛,13,2024/7/15 14:26,其他不说，把我的命交给一台电脑，这点钱我不想省[微笑]
（每日一看）,0,2024/8/21 0:42,萝卜快跑不是外资嘛
贝加尔湖,0,2024/9/6 0:30,多开发养老机器人才是造福人类！
屈人常，四川岳池原公71代,13,2024/7/15 5:07,可以先用于政府公务车，
演四宝,9,2024/7/15 18:32,现在无人技术这么发达了老子去银行办个事还要等半天[流泪]
布莱恩,3,2024/7/15 9:14,其它项目，政府不出力，资本不出钱
淸流,56,2024/7/14 13:59,很多从事网约车群体的广大司机都是从其他行业失败转过来的，他们很难，肯能欠下巨额债务，也有很多人身背房贷，上有老下有小，或许家人有重大疾病需要他们支撑，如果无人网约车一下子击倒了他们，他们可能内心会被击溃，举步维艰！贷款要还，孩子要养，家人可能还要看病；开网约车的人可是没有社保的
窗含西岭,0,2024/8/21 23:48,说的非常好，科技应该是让人过的更好，而不是去抢糊口的饭碗，更应该投入到危险行业比如消防、国防、军队、航天航空等等
Mr张,2,2024/7/14 14:14,可以研发试点，不支持推广
武汉  芳,172,2024/7/15 17:47,卸载百度，从我做起
程，，，，，,11,2024/7/15 12:32,如果那天你在路边出了事，有急事没钱付，萝卜能帮助你吗，
望子成龙,1,2024/8/2 17:43,被黑客攻击产生的后果谁来负责。
一笑浆糊,48,2024/7/15 9:50,人工智能最应该发展的方向是救灾，是排爆，是航天探月，是医疗领域，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是人类无法完成的项目才是为人类造福，而不是抢那些服务人员的生存岗位！不要为了营造自己的利益资本化，说的这么高大尚。
像花火像蝴蝶。,180,2024/7/15 22:17,萝卜快跑打车便宜，实实在在为我们老百姓省钱。之前跑网约车连休息的时间都没有，现在有时间休息休息陪陪家人。太感动了。我要问候李彦宏全家好。[感谢][感谢][感谢]
小果冻??,0,2024/8/20 15:06,优秀出租车师傅的标准10年以上实践驾驶技术，[抠鼻]看来需要那些大学刚毕业的学生，在虚拟仓里来一把极速赛车给代替了[灵机一动][灵机一动][灵机一动][灵机一动]
西湖,0,2024/8/14 12:07,说得对说得对说得对说得对说得对说得对说得对说得对说得对说得对说得对说得对说得对说得对支持支持支持支持支持支持支持支持支持，取消取消取消取消取消取消全国全国全国
。。勿忘我,0,2024/8/17 10:35,中国有多少人不想结婚，有多少人不想要小孩子你们调查过吗，想想后果都可怕
龙沐白,0,2024/8/13 18:12,我支持无人驾驶，技术成熟了后比人驾驶要安全的多。
a会计培训王老师,37,2024/7/15 21:59,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
冯冯火火,1,2024/7/26 9:13,我想知道是哪个车企，以后有条件了也支持一下
牵着蚂蚁（??）去散步,10,2024/7/15 0:28,活动和优惠没有我看还有人说便宜不
玥,19,2024/7/15 21:57,讲得好！政府部门真要好好考虑，这关系到千万个家庭呀[感谢][感谢][感谢]
小谢同学,0,2024/8/18 3:05,是不是以后不用上班了有机器给我们上班做饭吃[捂脸][捂脸][捂脸][捂脸]
LD 灯、,20,2024/7/15 11:35,试想一下，到时候很多人饭碗保不住，家庭压力大，犯罪率会不会上升？
晨风,13,2024/7/15 11:21,昨天还在路上看见工人钻到下水道里清淤泥，那么幸苦，机器人呢？无人技术呢？
钱多多,4,2024/8/5 4:26,
西湖,0,2024/8/14 12:09,说得对说得对说得对说得对说得对说得对支持支持支持支持支持支持支持支持支持支持支持
热心观众,31,2024/7/15 3:33,说句心里话，能跑网约车都是实在没有办法的，辛苦钱！
呵呵呵??,0,2024/7/16 18:27,"自动驾驶的AI和医疗的AI不是一个级别。医疗的AI才是真正的有自主意识的AI。
另外你觉得是谁让萝卜上路的？谁是最终话事人？你不觉得这是天听在下一盘大棋吗？下大棋，舍弃几个兵算什么？我也是滴滴司机，但我不怪萝卜，我没那么幼稚。"
??一瞬,14,2024/7/15 10:09,时代要进步，这是不可避免的，只能适应
真是个老六,7,2024/7/15 21:35,技术进步是必然的，但核心在于怎么分配，0.01的人分走99.99%的蛋糕，大部分人没有生产资料沦为无用劳动力。有些人幸灾乐祸，只是还没到你头上而已[呲牙]
托蒂,1,2024/7/30 19:57,建筑行业这么多的人，也不知道咋办呢
